District,Language,School Year,Students,ELLs
Andover School District                                ,Spanish                                           ,2011-12,<=5,<=5
Andover School District                                ,Italian                                           ,2011-12,<=5,<=5
Andover School District                                ,Polish                                            ,2011-12,6,<=5
Andover School District                                ,Czech                                             ,2011-12,<=5,<=5
Andover School District                                ,German                                            ,2011-12,<=5,<=5
Andover School District                                ,Bangla                                            ,2011-12,<=5,<=5
Ansonia School District                                ,Spanish                                           ,2011-12,128,36
Ansonia School District                                ,Portuguese                                        ,2011-12,<=5,<=5
Ansonia School District                                ,Lao                                               ,2011-12,<=5,<=5
Ansonia School District                                ,Hmong                                             ,2011-12,<=5,<=5
Ansonia School District                                ,Italian                                           ,2011-12,<=5,<=5
Ansonia School District                                ,Polish                                            ,2011-12,28,<=5
Ansonia School District                                ,Greek                                             ,2011-12,<=5,<=5
Ansonia School District                                ,Albanian                                          ,2011-12,22,9
Ansonia School District                                ,Arabic                                            ,2011-12,7,<=5
Ansonia School District                                ,Bengali                                           ,2011-12,<=5,<=5
Ansonia School District                                ,Farsi                                             ,2011-12,<=5,<=5
Ansonia School District                                ,French                                            ,2011-12,<=5,<=5
Ansonia School District                                ,Gujarati                                          ,2011-12,<=5,<=5
Ansonia School District                                ,Creole-Haitian                                    ,2011-12,<=5,<=5
Ansonia School District                                ,Lithuanian                                        ,2011-12,<=5,<=5
Ansonia School District                                ,Russian                                           ,2011-12,<=5,<=5
Ansonia School District                                ,Serbo-Croatian                                    ,2011-12,<=5,<=5
Ansonia School District                                ,Somali                                            ,2011-12,<=5,<=5
Ansonia School District                                ,Pilipino (Filipino)                               ,2011-12,<=5,<=5
Ansonia School District                                ,Tamil                                             ,2011-12,<=5,<=5
Ansonia School District                                ,Turkish                                           ,2011-12,15,8
Ansonia School District                                ,Ukrainian                                         ,2011-12,<=5,<=5
Ansonia School District                                ,Urdu                                              ,2011-12,<=5,<=5
Ansonia School District                                ,Vietnamese                                        ,2011-12,8,<=5
Ansonia School District                                ,Cantonese                                         ,2011-12,<=5,<=5
Ansonia School District                                ,Mandarin                                          ,2011-12,<=5,<=5
Ansonia School District                                ,Visayan                                           ,2011-12,<=5,<=5
Ansonia School District                                ,Persian                                           ,2011-12,<=5,<=5
Ashford School District                                ,Spanish                                           ,2011-12,<=5,<=5
Ashford School District                                ,Polish                                            ,2011-12,<=5,<=5
Ashford School District                                ,Arabic                                            ,2011-12,<=5,<=5
Ashford School District                                ,Bengali                                           ,2011-12,<=5,<=5
Ashford School District                                ,Gujarati                                          ,2011-12,<=5,<=5
Ashford School District                                ,Pashto                                            ,2011-12,<=5,<=5
Ashford School District                                ,Russian                                           ,2011-12,<=5,<=5
Avon School District                                   ,Spanish                                           ,2011-12,31,8
Avon School District                                   ,Portuguese                                        ,2011-12,<=5,<=5
Avon School District                                   ,Italian                                           ,2011-12,<=5,<=5
Avon School District                                   ,Polish                                            ,2011-12,7,<=5
Avon School District                                   ,Albanian                                          ,2011-12,<=5,<=5
Avon School District                                   ,Arabic                                            ,2011-12,<=5,<=5
Avon School District                                   ,Assyrian                                          ,2011-12,<=5,<=5
Avon School District                                   ,Bengali                                           ,2011-12,<=5,<=5
Avon School District                                   ,Danish                                            ,2011-12,6,<=5
Avon School District                                   ,Farsi                                             ,2011-12,<=5,<=5
Avon School District                                   ,French                                            ,2011-12,6,<=5
Avon School District                                   ,German                                            ,2011-12,12,<=5
Avon School District                                   ,Gujarati                                          ,2011-12,<=5,<=5
Avon School District                                   ,Hindi                                             ,2011-12,10,<=5
Avon School District                                   ,Japanese                                          ,2011-12,8,<=5
Avon School District                                   ,Kannada                                           ,2011-12,<=5,<=5
Avon School District                                   ,Korean                                            ,2011-12,28,11
Avon School District                                   ,Malayalam                                         ,2011-12,<=5,<=5
Avon School District                                   ,Marathi                                           ,2011-12,<=5,<=5
Avon School District                                   ,Pashto                                            ,2011-12,<=5,<=5
Avon School District                                   ,Rumanian                                          ,2011-12,<=5,<=5
Avon School District                                   ,Russian                                           ,2011-12,17,<=5
Avon School District                                   ,Serbo-Croatian                                    ,2011-12,<=5,<=5
Avon School District                                   ,Slovak                                            ,2011-12,<=5,<=5
Avon School District                                   ,Tamil                                             ,2011-12,10,<=5
Avon School District                                   ,Telugu                                            ,2011-12,14,<=5
Avon School District                                   ,Thai                                              ,2011-12,<=5,<=5
Avon School District                                   ,Turkish                                           ,2011-12,<=5,<=5
Avon School District                                   ,Ukrainian                                         ,2011-12,<=5,<=5
Avon School District                                   ,Urdu                                              ,2011-12,<=5,<=5
Avon School District                                   ,Vietnamese                                        ,2011-12,<=5,<=5
Avon School District                                   ,Taiwanese                                         ,2011-12,<=5,<=5
Avon School District                                   ,Cantonese                                         ,2011-12,6,<=5
Avon School District                                   ,Mandarin                                          ,2011-12,24,<=5
Avon School District                                   ,Oriya                                             ,2011-12,<=5,<=5
Avon School District                                   ,Tulu                                              ,2011-12,<=5,<=5
Avon School District                                   ,Persian                                           ,2011-12,<=5,<=5
Barkhamsted School District                            ,Spanish                                           ,2011-12,<=5,<=5
Barkhamsted School District                            ,Greek                                             ,2011-12,<=5,<=5
Barkhamsted School District                            ,Hungarian                                         ,2011-12,<=5,<=5
Barkhamsted School District                            ,Thai                                              ,2011-12,<=5,<=5
Berlin School District                                 ,Spanish                                           ,2011-12,32,16
Berlin School District                                 ,Portuguese                                        ,2011-12,<=5,<=5
Berlin School District                                 ,Italian                                           ,2011-12,<=5,<=5
Berlin School District                                 ,Polish                                            ,2011-12,98,23
Berlin School District                                 ,Greek                                             ,2011-12,<=5,<=5
Berlin School District                                 ,Albanian                                          ,2011-12,<=5,<=5
Berlin School District                                 ,Arabic                                            ,2011-12,12,7
Berlin School District                                 ,Armenian                                          ,2011-12,<=5,<=5
Berlin School District                                 ,Assyrian                                          ,2011-12,<=5,<=5
Berlin School District                                 ,French                                            ,2011-12,<=5,<=5
Berlin School District                                 ,German                                            ,2011-12,<=5,<=5
Berlin School District                                 ,Gujarati                                          ,2011-12,33,10
Berlin School District                                 ,Hindi                                             ,2011-12,<=5,<=5
Berlin School District                                 ,Hungarian                                         ,2011-12,<=5,<=5
Berlin School District                                 ,Lithuanian                                        ,2011-12,<=5,<=5
Berlin School District                                 ,Marathi                                           ,2011-12,<=5,<=5
Berlin School District                                 ,Russian                                           ,2011-12,<=5,<=5
Berlin School District                                 ,Serbo-Croatian                                    ,2011-12,<=5,<=5
Berlin School District                                 ,Slovak                                            ,2011-12,<=5,<=5
Berlin School District                                 ,Thai                                              ,2011-12,<=5,<=5
Berlin School District                                 ,Turkish                                           ,2011-12,<=5,<=5
Berlin School District                                 ,Ukrainian                                         ,2011-12,<=5,<=5
Berlin School District                                 ,Urdu                                              ,2011-12,13,<=5
Berlin School District                                 ,Yoruba                                            ,2011-12,<=5,<=5
Berlin School District                                 ,Vietnamese                                        ,2011-12,<=5,<=5
Berlin School District                                 ,Bangla                                            ,2011-12,<=5,<=5
Berlin School District                                 ,Mandarin                                          ,2011-12,<=5,<=5
Berlin School District                                 ,Tagalog                                           ,2011-12,<=5,<=5
Bethany School District                                ,Spanish                                           ,2011-12,<=5,<=5
Bethany School District                                ,Lao                                               ,2011-12,<=5,<=5
Bethany School District                                ,Polish                                            ,2011-12,<=5,<=5
Bethany School District                                ,Japanese                                          ,2011-12,<=5,<=5
Bethany School District                                ,Korean                                            ,2011-12,<=5,<=5
Bethany School District                                ,Rumanian                                          ,2011-12,<=5,<=5
Bethany School District                                ,Russian                                           ,2011-12,<=5,<=5
Bethany School District                                ,Pilipino (Filipino)                               ,2011-12,<=5,<=5
Bethany School District                                ,Ukrainian                                         ,2011-12,<=5,<=5
Bethany School District                                ,Urdu                                              ,2011-12,<=5,<=5
Bethany School District                                ,Mandarin                                          ,2011-12,<=5,<=5
Bethel School District                                 ,Spanish                                           ,2011-12,112,36
Bethel School District                                 ,Portuguese                                        ,2011-12,59,18
Bethel School District                                 ,Lao                                               ,2011-12,<=5,<=5
Bethel School District                                 ,Hmong                                             ,2011-12,<=5,<=5
Bethel School District                                 ,Khmer(Cambodian)                                  ,2011-12,6,<=5
Bethel School District                                 ,Polish                                            ,2011-12,<=5,<=5
Bethel School District                                 ,Albanian                                          ,2011-12,<=5,<=5
Bethel School District                                 ,Arabic                                            ,2011-12,6,<=5
Bethel School District                                 ,Bengali                                           ,2011-12,6,<=5
Bethel School District                                 ,Dari                                              ,2011-12,<=5,<=5
Bethel School District                                 ,Gujarati                                          ,2011-12,<=5,<=5
Bethel School District                                 ,Hindi                                             ,2011-12,<=5,<=5
Bethel School District                                 ,Japanese                                          ,2011-12,<=5,<=5
Bethel School District                                 ,Korean                                            ,2011-12,<=5,<=5
Bethel School District                                 ,Punjabi                                           ,2011-12,6,<=5
Bethel School District                                 ,Russian                                           ,2011-12,<=5,<=5
Bethel School District                                 ,Serbo-Croatian                                    ,2011-12,<=5,<=5
Bethel School District                                 ,Telugu                                            ,2011-12,<=5,<=5
Bethel School District                                 ,Thai                                              ,2011-12,<=5,<=5
Bethel School District                                 ,Urdu                                              ,2011-12,7,<=5
Bethel School District                                 ,Vietnamese                                        ,2011-12,13,<=5
Bethel School District                                 ,Bangla                                            ,2011-12,<=5,<=5
Bethel School District                                 ,Cantonese                                         ,2011-12,10,<=5
Bethel School District                                 ,Mandarin                                          ,2011-12,<=5,<=5
Bloomfield School District                             ,Spanish                                           ,2011-12,23,12
Bloomfield School District                             ,Portuguese                                        ,2011-12,<=5,<=5
Bloomfield School District                             ,Italian                                           ,2011-12,<=5,<=5
Bloomfield School District                             ,Albanian                                          ,2011-12,<=5,<=5
Bloomfield School District                             ,Arabic                                            ,2011-12,<=5,<=5
Bloomfield School District                             ,Bengali                                           ,2011-12,<=5,<=5
Bloomfield School District                             ,French                                            ,2011-12,<=5,<=5
Bloomfield School District                             ,Creole-Haitian                                    ,2011-12,<=5,<=5
Bloomfield School District                             ,Hausa                                             ,2011-12,<=5,<=5
Bloomfield School District                             ,Russian                                           ,2011-12,<=5,<=5
Bloomfield School District                             ,Telugu                                            ,2011-12,<=5,<=5
Bloomfield School District                             ,Twi/Fante                                         ,2011-12,<=5,<=5
Bloomfield School District                             ,Ukrainian                                         ,2011-12,<=5,<=5
Bloomfield School District                             ,Urdu                                              ,2011-12,<=5,<=5
Bloomfield School District                             ,Vietnamese                                        ,2011-12,<=5,<=5
Bloomfield School District                             ,Amharic                                           ,2011-12,<=5,<=5
Bloomfield School District                             ,Igbo                                              ,2011-12,<=5,<=5
Bloomfield School District                             ,Samoan                                            ,2011-12,<=5,<=5
Bloomfield School District                             ,Bangla                                            ,2011-12,<=5,<=5
