Language,Students,ELLs,
Aku,4.666666667,0,Gambia
Arabic,1438.666667,617.3333333,
Assyrian,7.666666667,0,
Bangla,128.3333333,37,
Bengali,527.3333333,163.3333333,
Cantonese,506.6666667,122.6666667,China
Finnish,2.333333333,0,
French,613.3333333,165,
Gujarati,666.6666667,84.33333333,
Hebrew,17,0,
Hindi,486.3333333,36.33333333,
Hmong,19.33333333,7.333333333,
Kannada,25.66666667,0,
Kinyarwanda,2,2,Rwanda
Kirundi,12.66666667,4.333333333,Burundi
Konkani,6.333333333,0,India
Krahan,11,6.666666667,Liberia
Kurdish,72.66666667,38,
Maay,2.333333333,0,
Malayalam,150.6666667,18,India
Mandarin,1983,356.3333333,China
Marathi,58.33333333,0,India
Mondingo,2.333333333,0,Sierra Leone
Nyanja,6,0,Zambia
Oriya,5,0,India
Portuguese,2796,821.6666667,
Punjabi,126,10.33333333,
Serbo-Croatian,607.3333333,153.3333333,
Somali,56.33333333,27.33333333,
Spanish,50035,22125.33333,
Swahili,44,14.33333333,
Tamil,266.6666667,27.66666667,
Telugu,444.3333333,62.66666667,
Tibetan,42.66666667,14.66666667,
Urdu,1089.666667,258.6666667,
