Inst,dist,School Year,district name,Total
13,288,2013-14,Achievement First Hartford Academy Inc.,871
13,288,2011-12,Achievement First Hartford Academy Inc.,761
13,288,2012-13,Achievement First Hartford Academy Inc.,824
13,279,2013-14,Amistad Academy District,937
13,279,2011-12,Amistad Academy District,857
13,279,2012-13,Amistad Academy District,904
11,1,2013-14,Andover School District,298
11,1,2011-12,Andover School District,314
11,1,2012-13,Andover School District,314
11,2,2013-14,Ansonia School District,2316
11,2,2011-12,Ansonia School District,2514
11,2,2012-13,Ansonia School District,2409
14,244,2013-14,Area Cooperative Educational Services,1933
14,244,2011-12,Area Cooperative Educational Services,1956
14,244,2012-13,Area Cooperative Educational Services,1898
11,3,2013-14,Ashford School District,422
11,3,2011-12,Ashford School District,481
11,3,2012-13,Ashford School District,439
11,4,2013-14,Avon School District,3369
11,4,2011-12,Avon School District,3495
11,4,2012-13,Avon School District,3403
11,5,2013-14,Barkhamsted School District,306
11,5,2011-12,Barkhamsted School District,357
11,5,2012-13,Barkhamsted School District,349
11,7,2013-14,Berlin School District,2949
11,7,2011-12,Berlin School District,3015
11,7,2012-13,Berlin School District,2972
11,8,2013-14,Bethany School District,436
11,8,2011-12,Bethany School District,491
11,8,2012-13,Bethany School District,473
11,9,2013-14,Bethel School District,2989
11,9,2011-12,Bethel School District,2970
11,9,2012-13,Bethel School District,2975
11,11,2013-14,Bloomfield School District,2087
11,11,2011-12,Bloomfield School District,2151
11,11,2012-13,Bloomfield School District,2098
11,12,2013-14,Bolton School District,862
11,12,2011-12,Bolton School District,892
11,12,2012-13,Bolton School District,892
11,13,2013-14,Bozrah School District,243
11,13,2011-12,Bozrah School District,234
11,13,2012-13,Bozrah School District,241
11,14,2013-14,Branford School District,3219
11,14,2011-12,Branford School District,3312
11,14,2012-13,Branford School District,3250
13,290,2013-14,Brass City Charter School District,115
13,285,2011-12,Bridgeport Achievement First,543
13,285,2013-14,Bridgeport Achievement First,835
13,285,2012-13,Bridgeport Achievement First,702
11,15,2013-14,Bridgeport School District,20710
11,15,2011-12,Bridgeport School District,20125
11,15,2012-13,Bridgeport School District,20129
11,17,2013-14,Bristol School District,8193
11,17,2011-12,Bristol School District,8442
11,17,2012-13,Bristol School District,8276
11,18,2013-14,Brookfield School District,2762
11,18,2011-12,Brookfield School District,2834
11,18,2012-13,Brookfield School District,2789
11,19,2013-14,Brooklyn School District,919
11,19,2011-12,Brooklyn School District,930
11,19,2012-13,Brooklyn School District,937
11,21,2013-14,Canaan School District,77
11,21,2011-12,Canaan School District,86
11,21,2012-13,Canaan School District,75
11,22,2013-14,Canterbury School District,458
11,22,2011-12,Canterbury School District,515
11,22,2012-13,Canterbury School District,490
11,23,2013-14,Canton School District,1688
11,23,2011-12,Canton School District,1738
11,23,2012-13,Canton School District,1748
14,241,2013-14,Capitol Region Education Council,7179
