Year,Status,Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Quincy, MA-NH","Atlanta-Sandy Springs-Marietta, GA","San Diego-Carlsbad-San Marcos, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","Phoenix-Mesa-Glendale, AZ","Detroit-Warren-Livonia, MI","Orlando-Kissimmee-Sanford, FL","Minneapolis-St. Paul-Bloomington, MN-WI","Denver-Aurora-Broomfield, CO","Las Vegas-Paradise, NV","Tampa-St. Petersburg-Clearwater, FL","Baltimore-Towson, MD","Sacramento--Arden-Arcade--Roseville, CA","Portland-Vancouver-Hillsboro, OR-WA","Austin-Round Rock-San Marcos, TX","San Antonio-New Braunfels, TX","El Paso, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Columbus, OH","Honolulu, HI","Providence-New Bedford-Fall River, RI-MA","Bridgeport-Stamford-Norwalk, CT","Indianapolis-Carmel, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Hartford-West Hartford-East Hartford, CT","Kansas City, MO-KS","Salt Lake City, UT","Raleigh-Cary, NC","McAllen-Edinburg-Mission, TX","St. Louis, MO-IL","Jacksonville, FL","Worcester, MA","Cleveland-Elyria-Mentor, OH","Buffalo-Niagara Falls, NY","Stockton, CA","Tucson, AZ","Fresno, CA","San Juan-Caguas-Guaynabo, PR","Oxnard-Thousand Oaks-Ventura, CA",Non-CBSA,Other & Unknown
2012,Legal Permanent Resident,Afghanistan,1617,150,97,5,234,15,218,17,19,11,61,78,18,35,23,22,25,8,D,9,21,14,D,13,75,17,11,D,D,-,D,-,-,4,D,6,5,D,13,9,-,18,12,D,6,D,24,9,-,-,9,D,289
2012,Legal Permanent Resident,Albania,3364,1034,12,24,44,171,5,23,26,291,8,8,208,7,15,5,21,418,23,6,D,9,90,8,D,10,-,D,D,3,10,-,5,31,D,13,71,D,-,3,D,27,112,105,39,D,D,-,-,-,8,23,435
2012,Legal Permanent Resident,Algeria,1369,267,43,23,71,79,94,35,8,92,21,11,133,12,14,4,3,19,9,9,28,3,17,7,14,D,13,10,D,9,34,D,6,-,10,D,9,23,D,15,-,5,D,9,6,D,-,D,-,-,-,6,189
2012,Legal Permanent Resident,Andorra,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,Legal Permanent Resident,Angola,187,20,4,8,7,D,-,16,6,39,4,-,3,D,-,-,3,-,-,-,D,D,D,D,D,D,D,-,-,9,-,-,12,D,-,-,-,-,-,4,-,-,D,-,D,5,-,-,-,-,-,D,29
2012,Legal Permanent Resident,Anguilla,23,D,-,D,D,D,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3
2012,Legal Permanent Resident,Antigua-Barbuda,337,168,D,28,4,-,D,4,D,5,9,D,3,-,-,-,D,D,11,-,-,-,4,D,-,-,D,D,-,-,3,D,3,D,D,D,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,37,39
2012,Legal Permanent Resident,Argentina,4359,584,302,1319,193,72,50,165,88,48,92,36,45,27,32,45,18,20,86,20,14,25,55,15,13,16,16,D,9,12,7,D,8,45,5,12,14,9,66,11,4,17,11,9,8,3,3,8,4,25,9,43,612
2012,Legal Permanent Resident,Armenia,2681,205,1797,14,31,21,36,3,17,56,8,10,20,22,55,19,5,12,9,4,6,33,5,4,53,5,D,-,-,6,5,D,5,4,5,3,4,D,13,D,-,3,-,D,8,D,-,-,24,-,9,D,133
2012,Legal Permanent Resident,Aruba,54,13,D,11,-,-,-,3,-,D,D,-,D,D,-,-,-,-,7,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,D,-,4,2
