Year,Status,Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Los Angeles-Long Beach-Santa Ana, CA","Miami-Fort Lauderdale-Pompano Beach, FL","Chicago-Joliet-Naperville, IL-IN-WI","San Francisco-Oakland-Fremont, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Boston-Cambridge-Quincy, MA-NH","Houston-Sugar Land-Baytown, TX","Dallas-Fort Worth-Arlington, TX","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","Riverside-San Bernardino-Ontario, CA","San Diego-Carlsbad-San Marcos, CA","San Jose-Sunnyvale-Santa Clara, CA","Minneapolis-St. Paul-Bloomington, MN-WI","Phoenix-Mesa-Glendale, AZ","Orlando-Kissimmee-Sanford, FL","Sacramento--Arden-Arcade--Roseville, CA","Detroit-Warren-Livonia, MI","Tampa-St. Petersburg-Clearwater, FL","Las Vegas-Paradise, NV","Denver-Aurora-Broomfield, CO","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Towson, MD","Providence-New Bedford-Fall River, RI-MA","Austin-Round Rock-San Marcos, TX","Columbus, OH","Fresno, CA","San Antonio-New Braunfels, TX","Bridgeport-Stamford-Norwalk, CT","Stockton, CA","Charlotte-Gastonia-Rock Hill, NC-SC","Jacksonville, FL","Raleigh-Cary, NC","Honolulu, HI","Hartford-West Hartford-East Hartford, CT","El Paso, TX","St. Louis, MO-IL","Nashville-Davidson--Murfreesboro--Franklin, TN","Salt Lake City, UT","Kansas City, MO-KS","Cleveland-Elyria-Mentor, OH","Oxnard-Thousand Oaks-Ventura, CA","Bakersfield-Delano, CA","Cape Coral-Fort Myers, FL","Worcester, MA","Virginia Beach-Norfolk-Newport News, VA-NC","Indianapolis-Carmel, IN","Cincinnati-Middletown, OH-KY-IN",Non-CBSA,Other & Unknown
2011,Naturalization,Afghanistan,1998,268,137,4,31,275,239,19,24,61,45,14,18,33,59,19,6,74,-,57,4,3,12,31,18,13,D,6,3,-,3,D,46,5,24,3,-,13,-,31,11,18,6,D,12,3,-,9,6,4,D,-,324
2011,Naturalization,Albania,4267,1263,18,46,239,9,31,357,7,21,8,237,13,11,14,D,6,40,20,6,591,187,21,8,7,25,D,3,11,-,4,35,-,4,147,3,D,76,-,52,11,-,5,58,5,-,8,131,11,-,D,7,505
2011,Naturalization,Algeria,773,144,31,22,41,51,32,82,10,12,11,39,16,D,9,6,4,5,10,4,13,7,6,10,-,3,11,12,14,-,8,D,-,-,D,8,-,5,-,-,-,-,-,4,-,-,D,D,D,8,D,3,123
2011,Naturalization,American Samoa,205,D,11,-,-,10,3,-,-,-,-,-,23,9,8,D,-,-,-,4,-,-,4,-,D,-,-,-,-,-,D,-,D,-,-,-,34,-,D,-,D,9,D,-,-,-,-,-,D,D,D,11,63
2011,Naturalization,Andorra,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2011,Naturalization,Angola,162,13,-,10,9,D,7,33,8,D,4,6,D,-,-,-,D,D,D,-,-,3,D,D,4,4,15,D,-,-,-,3,D,-,-,5,D,-,-,-,-,-,-,-,-,-,-,D,-,-,-,D,20
2011,Naturalization,Anguilla,38,5,D,D,-,-,-,-,D,-,4,D,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,18,3
2011,Naturalization,Antigua-Barbuda,386,156,3,18,3,D,7,9,D,3,16,13,-,D,4,D,4,-,15,-,-,9,-,-,-,4,D,D,-,-,-,3,-,3,D,-,D,4,-,D,-,-,-,D,-,-,-,-,D,-,-,42,56
2011,Naturalization,Argentina,3870,410,280,1249,77,56,105,64,87,39,51,54,27,59,37,22,19,27,91,13,12,38,40,27,11,19,13,14,7,D,8,21,4,17,23,26,10,12,5,7,7,29,15,7,17,D,36,5,5,5,6,15,638
2011,Naturalization,Armenia,3965,154,3101,13,20,32,25,57,D,13,D,15,18,17,12,15,5,16,8,92,7,6,63,17,3,5,8,3,3,68,D,3,-,5,6,D,-,D,-,3,D,3,-,13,6,3,D,6,5,D,D,3,99
