Year,Status,Country,Total,"New York-Northern New Jersey-Long Island, NY-NJ-PA","Miami-Fort Lauderdale-Pompano Beach, FL","Los Angeles-Long Beach-Santa Ana, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Chicago-Joliet-Naperville, IL-IN-WI","Houston-Sugar Land-Baytown, TX","San Francisco-Oakland-Fremont, CA","Boston-Cambridge-Quincy, MA-NH","Dallas-Fort Worth-Arlington, TX","Atlanta-Sandy Springs-Marietta, GA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Seattle-Tacoma-Bellevue, WA","San Diego-Carlsbad-San Marcos, CA","Riverside-San Bernardino-Ontario, CA","San Jose-Sunnyvale-Santa Clara, CA","Sacramento--Arden-Arcade--Roseville, CA","Minneapolis-St. Paul-Bloomington, MN-WI","Phoenix-Mesa-Glendale, AZ","Orlando-Kissimmee-Sanford, FL","Tampa-St. Petersburg-Clearwater, FL","Detroit-Warren-Livonia, MI","Las Vegas-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Denver-Aurora-Broomfield, CO","Baltimore-Towson, MD","Fresno, CA","Columbus, OH","Providence-New Bedford-Fall River, RI-MA","Stockton, CA","Austin-Round Rock-San Marcos, TX","Bridgeport-Stamford-Norwalk, CT","San Antonio-New Braunfels, TX","Charlotte-Gastonia-Rock Hill, NC-SC","Jacksonville, FL","Raleigh-Cary, NC","El Paso, TX","St. Louis, MO-IL","Hartford-West Hartford-East Hartford, CT","Nashville-Davidson--Murfreesboro--Franklin, TN","Kansas City, MO-KS","Honolulu, HI","Cape Coral-Fort Myers, FL","Salt Lake City, UT","Cleveland-Elyria-Mentor, OH","Worcester, MA","Naples-Marco Island, FL","Tucson, AZ","Virginia Beach-Norfolk-Newport News, VA-NC","Richmond, VA","San Juan-Caguas-Guaynabo, PR",Non-CBSA,Other & Unknown
2012,Naturalization,Afghanistan,1758,212,3,118,278,24,19,193,12,32,43,17,49,56,32,21,61,4,41,D,5,7,17,10,23,12,D,3,3,62,3,D,7,-,8,5,-,32,7,12,6,-,-,6,3,-,3,D,D,12,-,5,283
2012,Naturalization,Albania,3615,1191,31,22,73,173,11,7,306,24,7,241,18,9,11,-,3,3,16,21,120,453,21,5,D,9,-,10,4,-,7,22,6,6,102,D,-,34,58,8,9,D,7,3,62,116,33,-,5,-,-,6,338
2012,Naturalization,Algeria,891,191,20,36,77,36,30,60,72,12,16,56,15,8,10,9,3,6,5,9,11,10,D,D,13,4,3,12,3,-,10,3,3,D,D,10,-,D,3,D,4,D,D,D,3,3,-,-,-,-,-,D,110
2012,Naturalization,American Samoa,180,D,-,13,3,D,-,6,-,-,-,-,33,D,4,4,5,-,D,-,-,-,D,4,-,D,D,-,-,-,-,-,-,-,-,-,4,-,-,-,D,28,-,14,-,-,-,D,3,4,-,8,35
2012,Naturalization,Andorra,D,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2012,Naturalization,Angola,166,14,10,D,6,6,10,-,35,5,6,7,D,-,-,D,-,-,4,D,-,D,-,-,-,D,-,-,8,D,-,D,D,4,-,D,-,D,-,-,-,-,-,-,-,-,-,3,-,-,-,D,32
2012,Naturalization,Anguilla,30,6,D,-,-,-,D,-,D,-,3,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,6,6
2012,Naturalization,Antigua-Barbuda,390,171,25,3,11,3,3,D,23,D,22,5,-,-,-,-,-,D,-,19,8,D,-,D,D,4,-,-,D,-,D,D,-,D,D,D,-,D,D,-,-,-,-,-,D,-,-,-,D,D,-,31,41
2012,Naturalization,Argentina,3909,486,1253,326,175,60,101,64,73,56,50,35,39,44,47,19,D,18,30,91,33,13,43,10,21,18,-,7,8,3,9,24,10,12,10,10,13,7,10,6,13,3,18,26,10,4,14,4,D,7,31,17,517
2012,Naturalization,Armenia,3285,176,17,2476,31,9,11,37,52,18,6,14,13,14,11,19,101,D,8,3,D,6,41,D,16,5,67,D,7,-,D,D,D,3,4,D,-,D,D,7,D,-,D,9,7,D,-,D,D,D,-,-,76
2012,Naturalization,Aruba,27,7,D,D,3,-,-,-,D,D,-,-,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,D,-,-,-,-,-,D,5
2012,Naturalization,Australia,1312,122,28,125,59,34,31,70,40,26,22,30,45,39,7,20,11,16,17,D,14,11,9,15,24,10,-,7,3,-,18,23,3,5,4,6,D,3,D,6,4,13,D,6,6,6,-,11,6,D,-,27,321
2012,Naturalization,Austria,241,30,11,24,10,5,6,12,5,3,7,5,8,D,D,8,-,D,3,D,4,D,3,4,3,D,-,-,D,-,4,-,4,4,-,3,-,D,D,-,-,3,D,-,D,-,D,-,-,-,-,D,54
2012,Naturalization,Azerbaijan,958,206,7,310,20,18,21,20,24,11,14,21,28,11,D,3,18,5,6,D,-,11,5,10,8,6,3,D,D,-,-,D,D,3,5,D,D,3,D,D,3,-,-,5,4,D,-,D,D,4,-,4,122
2012,Naturalization,Bahamas,647,26,306,12,12,9,11,D,6,9,51,D,D,3,D,-,-,D,D,29,13,D,D,D,D,6,-,D,-,D,-,-,-,3,4,4,-,D,D,3,-,-,7,-,D,D,8,D,3,-,-,4,94
2012,Naturalization,Bahrain,93,8,3,D,8,3,4,3,D,6,4,6,D,D,-,-,-,D,D,D,D,D,-,D,-,-,-,-,-,-,D,-,-,-,-,D,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,D,24
2012,Naturalization,Bangladesh,8417,4425,270,316,472,70,137,38,103,225,217,248,32,18,63,43,33,37,66,60,43,320,8,14,13,42,D,22,7,D,26,49,21,9,5,15,D,16,38,11,13,3,13,D,13,8,7,3,6,29,-,9,776
2012,Naturalization,Barbados,687,365,35,6,24,11,3,D,51,3,24,16,3,6,D,-,-,3,D,11,7,D,-,-,D,D,-,D,D,-,D,5,D,5,D,D,-,D,9,D,-,-,-,D,D,D,-,-,7,3,-,3,64
2012,Naturalization,Belarus,1896,404,57,52,37,88,9,56,52,20,32,77,68,16,7,27,141,60,7,9,9,7,7,22,36,16,D,12,7,-,D,11,D,12,7,5,-,18,8,8,3,3,D,4,12,D,-,4,9,-,-,17,434
2012,Naturalization,Belgium,522,52,30,32,24,9,11,22,20,4,20,15,19,14,D,9,3,5,7,D,11,3,-,5,5,6,-,D,D,D,3,D,D,6,-,11,-,D,D,D,D,-,-,3,D,D,D,6,3,D,-,10,129
2012,Naturalization,Belize,817,154,26,249,8,83,43,4,6,12,14,3,D,8,24,D,D,-,5,9,3,4,14,D,D,D,-,-,D,-,D,D,3,D,7,D,D,D,3,D,D,-,D,-,-,-,D,D,6,-,-,6,93
2012,Naturalization,Benin,210,17,-,D,47,13,4,D,6,D,6,4,-,-,-,-,-,8,-,-,-,D,4,-,4,5,-,D,-,-,4,-,D,3,-,D,-,3,-,-,D,-,-,-,-,D,-,D,D,D,-,D,64
2012,Naturalization,Bermuda,65,5,3,D,D,D,D,D,3,-,3,3,D,D,-,D,-,-,-,4,D,-,-,-,-,D,-,D,D,-,-,-,-,D,4,D,-,-,-,-,-,-,D,-,-,D,D,-,-,-,-,D,18
2012,Naturalization,Bhutan,42,D,-,-,5,D,-,4,-,-,6,-,D,-,-,-,-,D,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,6,-,4,7
2012,Naturalization,Bolivia,2063,163,177,67,1063,21,63,19,25,21,3,6,7,13,17,14,4,D,7,13,12,-,D,8,D,14,-,4,33,4,6,3,5,5,5,4,-,-,4,-,5,D,5,11,-,6,34,D,3,7,3,8,164
2012,Naturalization,Bosnia-Herzegovina,4904,93,13,17,37,340,49,46,47,105,270,18,70,11,3,23,21,62,183,34,196,137,48,82,30,6,-,8,-,D,24,7,5,33,163,5,3,475,99,39,44,D,D,83,129,D,D,11,7,36,-,11,1774
2012,Naturalization,Botswana,11,D,-,-,D,-,-,-,-,-,D,-,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3
2012,Naturalization,Brazil,9884,1428,1500,376,272,114,122,239,1382,182,299,102,84,151,49,61,28,40,56,352,130,65,42,26,25,35,5,20,115,6,52,255,21,41,54,26,3,36,40,11,17,29,70,77,10,215,32,15,31,38,6,80,1419
2012,Naturalization,British Virgin Islands,41,8,6,D,-,-,-,-,-,-,D,-,-,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,D,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,11,4
2012,Naturalization,Brunei,17,-,-,D,-,-,D,D,-,D,-,-,D,-,-,-,D,-,-,-,D,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5
2012,Naturalization,Bulgaria,2964,272,78,159,134,602,30,96,95,36,100,51,86,48,13,36,18,21,57,31,60,26,112,12,32,29,D,6,9,D,6,15,4,14,8,9,D,28,7,5,9,11,4,13,12,5,12,6,22,5,D,29,486
2012,Naturalization,Burkina Faso,166,58,-,D,17,9,6,D,D,-,3,4,6,-,-,-,-,D,D,-,D,-,-,D,4,4,-,3,-,D,-,-,-,-,-,-,-,D,-,D,-,D,-,-,-,-,-,-,D,3,-,-,34
2012,Naturalization,Burma,2384,330,47,243,126,33,27,256,34,55,20,14,19,18,17,25,17,108,34,10,13,4,13,20,11,41,5,D,7,5,13,D,4,14,24,6,D,5,D,31,8,3,4,4,3,4,3,D,3,4,-,5,685
2012,Naturalization,Burundi,209,22,-,4,9,3,D,D,4,15,17,5,-,4,-,-,D,D,10,-,-,D,D,-,D,D,-,D,D,-,D,D,4,-,3,D,-,-,D,D,-,-,-,D,-,-,-,D,-,-,-,D,84
2012,Naturalization,Cambodia,6189,40,4,1743,106,53,97,181,371,110,79,264,300,100,161,142,107,150,41,7,13,9,27,45,23,6,279,31,92,518,21,16,6,27,44,D,D,-,8,8,9,4,-,18,20,9,-,D,10,23,-,30,833
2012,Naturalization,Cameroon,2459,105,12,59,729,91,127,18,95,116,138,48,11,5,13,17,9,90,20,13,5,14,8,4,13,113,-,22,D,4,14,D,9,19,3,6,D,6,D,D,24,-,-,D,4,29,-,11,3,20,D,6,396
2012,Naturalization,Canada,9077,553,368,414,219,245,243,266,223,221,207,137,345,195,102,125,54,105,235,110,155,206,90,100,129,60,16,50,30,13,72,51,35,59,55,95,D,31,33,45,42,50,43,41,55,37,29,35,50,24,D,191,2785
2012,Naturalization,Cape Verde,1037,21,6,D,6,-,D,D,654,-,D,D,-,-,-,-,D,-,-,8,-,-,D,-,-,D,-,-,264,-,-,5,D,-,3,-,-,-,3,-,-,-,D,-,-,3,-,-,D,D,-,D,48
2012,Naturalization,Cayman Islands,29,3,D,D,D,D,-,D,-,-,3,D,-,-,-,-,-,-,-,D,D,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12
2012,Naturalization,Central African Republic,56,3,-,D,7,D,D,3,-,D,D,3,3,D,-,-,-,D,D,-,-,D,-,D,-,3,-,-,-,-,-,-,5,-,D,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,14
2012,Naturalization,Chad,69,16,D,-,10,D,4,-,-,3,-,D,D,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,D,-,-,-,-,-,-,-,D,-,-,-,D,-,D,-,-,24
2012,Naturalization,Chile,1586,237,322,94,122,24,49,37,40,21,27,12,18,14,21,11,5,10,14,26,14,D,8,10,6,10,D,3,6,-,8,12,6,11,10,13,-,-,D,3,D,3,8,30,4,9,5,5,D,D,8,13,268
2012,Naturalization,"China, People's Republic",31868,9326,227,3728,825,943,682,3346,1192,372,360,746,708,341,330,877,399,212,173,113,95,165,273,281,153,203,26,139,59,60,97,51,43,80,40,113,8,103,65,52,88,194,10,79,88,56,8,31,100,89,25,194,3900
2012,Naturalization,Colombia,23972,4728,7555,513,575,296,692,142,549,237,646,201,96,93,121,53,45,61,91,1304,852,11,61,24,62,59,6,32,199,9,57,226,66,219,147,108,17,32,95,58,42,16,178,64,19,56,186,13,43,63,91,105,2758
2012,Naturalization,Comoros,7,-,-,-,D,-,-,-,-,-,-,3,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-
2012,Naturalization,"Congo, Democratic Republic",1173,43,D,27,92,23,41,7,48,125,66,10,8,17,5,D,D,16,20,D,D,6,D,8,27,15,-,15,5,D,6,14,5,53,4,66,-,11,D,9,7,-,-,10,D,7,-,6,5,D,-,4,325
2012,Naturalization,"Congo, Republic",381,28,4,8,44,15,19,7,6,13,14,7,3,8,D,-,D,4,13,D,D,D,3,5,7,8,D,5,D,D,D,D,D,8,D,15,-,D,-,3,4,-,-,3,D,-,-,3,3,-,-,D,100
2012,Naturalization,Cook Islands,D,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
2012,Naturalization,Costa Rica,1597,355,219,80,52,27,38,23,27,27,34,41,8,15,12,3,9,12,9,42,46,-,14,4,10,6,3,6,3,D,4,16,6,22,10,6,D,D,D,8,7,D,11,-,3,-,9,D,4,3,9,16,330
2012,Naturalization,Cote d'Ivoire,868,227,8,19,145,28,21,11,15,15,38,30,19,4,4,D,5,10,4,-,D,15,4,-,14,11,D,6,7,D,D,D,3,6,6,7,-,4,D,3,D,-,D,D,D,4,-,-,4,8,-,D,145
2012,Naturalization,Croatia,725,78,15,13,15,64,12,9,16,11,23,10,10,3,D,8,5,5,27,6,20,8,19,10,10,7,D,D,D,-,3,3,D,D,34,-,-,13,D,5,7,-,D,12,26,-,D,D,5,D,-,3,197
2012,Naturalization,Cuba,31244,850,23129,167,47,92,198,31,20,82,88,63,19,23,44,9,D,10,135,441,1551,7,306,67,20,12,-,10,13,-,81,9,25,17,152,21,11,3,7,31,39,D,743,11,4,7,473,7,51,13,110,60,1927
2012,Naturalization,Cyprus,92,25,D,4,5,D,D,D,3,-,D,3,-,D,-,4,-,D,D,D,-,D,-,D,D,5,-,-,D,-,D,4,-,-,-,-,-,-,-,-,-,-,D,-,-,D,-,-,4,-,-,-,13
